"synonym_name","synonym_concept_code","synonym_vocabulary_id"
"HMM","23","HemOnc"
"hexamethylmelamine","23","HemOnc"
"Altretamine","23","HemOnc"
"flavopiridol","24","HemOnc"
"L-868275","24","HemOnc"
"HMR 1275","24","HemOnc"
"Alvocidib","24","HemOnc"
"HMR-1275","24","HemOnc"
"L 868275","24","HemOnc"
"L868275","24","HemOnc"
"HMR1275","24","HemOnc"
"MORAb-009","25","HemOnc"
"Amatuximab","25","HemOnc"
"Amifostine","26","HemOnc"
"ε-Ahx","27","HemOnc"
"epsilon aminocaproic acid","27","HemOnc"
"ε-aminocaproic acid","27","HemOnc"
"6-aminohexanoic acid","27","HemOnc"
"Aminocaproic acid","27","HemOnc"
"Aminoglutethimide","28","HemOnc"
"Aminopterin","29","HemOnc"
"4-aminopteroyl-glutamic acid","29","HemOnc"
"AMR","30","HemOnc"
"amrubicin HCI","30","HemOnc"
"SM-5887","30","HemOnc"
"Amrubicin","30","HemOnc"
"SM 5887","30","HemOnc"
"SM5887","30","HemOnc"
"SN-11841","31","HemOnc"
"acridinyl anisidide","31","HemOnc"
"AMSA","31","HemOnc"
"m-AMSA","31","HemOnc"
"Cain's acridine","31","HemOnc"
"CI-880","31","HemOnc"
"Amsacrine","31","HemOnc"
"SN 11841","31","HemOnc"
"CI 880","31","HemOnc"
"SN11841","31","HemOnc"
"CI880","31","HemOnc"
"Anagrelide","32","HemOnc"
"Anastrozole","33","HemOnc"
"Anti-inhibitor coagulant complex","34","HemOnc"
"Antithrombin III","35","HemOnc"
"Antithymocyte globulin horse ATG","36","HemOnc"
"antithymocyte globulin (rabbit)","37","HemOnc"
"lymphocyte immune globulin (rabbit)","37","HemOnc"
"anti-thymocyte globulin (rabbit)","37","HemOnc"
"Antithymocyte globulin rabbit ATG","37","HemOnc"
"ARN-509","39","HemOnc"
"Apalutamide","39","HemOnc"
"ARN 509","39","HemOnc"
"ARN509","39","HemOnc"
"YN968D1","40","HemOnc"
"rivoceranib","40","HemOnc"
"Apatinib","40","HemOnc"
"YN-968D1","40","HemOnc"
"YN 968D1","40","HemOnc"
"Apixaban","41","HemOnc"
"MK-0869","42","HemOnc"
"Aprepitant","42","HemOnc"
"MK 0869","42","HemOnc"
"MK0869","42","HemOnc"
"Argatroban","43","HemOnc"
"Arsenic trioxide","44","HemOnc"
"Arsenic (III) Oxide","44","HemOnc"
"L Asparaginase","45","HemOnc"
"L-ASP","45","HemOnc"
"colaspase","45","HemOnc"
"crisantaspase","45","HemOnc"
"Asparaginase","45","HemOnc"
"Erwinia L-asparginase","46","HemOnc"
"krisantaspas","46","HemOnc"
"krisantaspaasi","46","HemOnc"
"crisantaspase","46","HemOnc"
"crisantaspasum","46","HemOnc"
"Asparaginase Erwinia chrysanthemi","46","HemOnc"
"Acetylsalicylic Acid Aluminium","47","HemOnc"
"Acetylsalicylate Sodium","47","HemOnc"
"Acetylsalicylate Lysine","47","HemOnc"
"AAC","47","HemOnc"
"ASA","47","HemOnc"
"Acidum Ascorbinicum","47","HemOnc"
"Acetylsalicylate Calcium","47","HemOnc"
"A.A.S.","47","HemOnc"
"Acetylsalicylic Acid Enteric Coated","47","HemOnc"
"Acetylsalicylate Copper","47","HemOnc"
"A.S.A.","47","HemOnc"
"Acetylsalicylic Acid Effervescent","47","HemOnc"
"Acidum Acethylsalicylicum","47","HemOnc"
"Acidum Acetylsalicylicum","47","HemOnc"
"ASS","47","HemOnc"
"AAS","47","HemOnc"
"Methyl Diethylacetylsalicylate","47","HemOnc"
"A-A-S 500","47","HemOnc"
"Acid Acetylsalicylic","47","HemOnc"
"Acidum Acetylsalicylic","47","HemOnc"
"Acidum Acetylsalicum","47","HemOnc"
"ECASA","47","HemOnc"
"Aspirin","47","HemOnc"
"Acido Acetilsalicilico","47","HemOnc"
"Aspirin and dipyridamole","48","HemOnc"
"RO5541267","49","HemOnc"
"RG7446","49","HemOnc"
"MPDL3280A","49","HemOnc"
"Atezolizumab","49","HemOnc"
"MPDL-3280A","49","HemOnc"
"RG-7446","49","HemOnc"
"RO-5541267","49","HemOnc"
"MPDL 3280A","49","HemOnc"
"RG 7446","49","HemOnc"
"RO 5541267","49","HemOnc"
"Atovaquone","50","HemOnc"
"Atropine","51","HemOnc"
"AKR 501","52","HemOnc"
"YM477","52","HemOnc"
"E5501","52","HemOnc"
"Avatrombopag","52","HemOnc"
"YM-477","52","HemOnc"
"AKR-501","52","HemOnc"
"E-5501","52","HemOnc"
"YM 477","52","HemOnc"
"E 5501","52","HemOnc"
"AKR501","52","HemOnc"
"MSB0010718C","53","HemOnc"
"Avelumab","53","HemOnc"
"MSB-0010718C","53","HemOnc"
"MSB 0010718C","53","HemOnc"
"Axicel","54","HemOnc"
"Axi-cel","54","HemOnc"
"KTE-C19","54","HemOnc"
"Axicabtagene ciloleucel","54","HemOnc"
"KTE C19","54","HemOnc"
"KTEC19","54","HemOnc"
"AG-013736","55","HemOnc"
"AG013736","55","HemOnc"
"Axitinib","55","HemOnc"
"AG 013736","55","HemOnc"
"5-azacitidine","56","HemOnc"
"5-azacytidine","56","HemOnc"
"Azacitidine","56","HemOnc"
"BHQ880","57","HemOnc"
"BHQ-880","57","HemOnc"
"BHQ 880","57","HemOnc"
"CAT-3888","58","HemOnc"
